Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-12 00:00:00+05:30,3638.949951171875,3698.39990234375,3631.0,3672.10009765625,2236866,0.0,0.0
2023-12-13 00:00:00+05:30,3643.550048828125,3650.0,3563.0,3593.550048828125,3850968,0.0,0.0
2023-12-14 00:00:00+05:30,3630.0,3678.0,3627.60009765625,3667.25,3290396,0.0,0.0
2023-12-15 00:00:00+05:30,3666.699951171875,3895.949951171875,3666.699951171875,3861.0,8531230,0.0,0.0
2023-12-18 00:00:00+05:30,3858.10009765625,3929.0,3830.14990234375,3859.199951171875,2521612,0.0,0.0
2023-12-19 00:00:00+05:30,3845.0,3855.10009765625,3790.0,3816.199951171875,2004435,0.0,0.0
2023-12-20 00:00:00+05:30,3827.25,3898.800048828125,3766.550048828125,3780.050048828125,2586083,0.0,0.0
2023-12-21 00:00:00+05:30,3756.25,3806.699951171875,3743.35009765625,3787.5,1517562,0.0,0.0
2023-12-22 00:00:00+05:30,3800.0,3845.949951171875,3762.0,3824.0,2413058,0.0,0.0
2023-12-26 00:00:00+05:30,3819.85009765625,3834.0,3790.14990234375,3795.550048828125,1285231,0.0,0.0
2023-12-27 00:00:00+05:30,3799.0,3818.199951171875,3768.0,3811.199951171875,1293976,0.0,0.0
2023-12-28 00:00:00+05:30,3824.0,3838.0,3792.10009765625,3799.89990234375,1682889,0.0,0.0
2023-12-29 00:00:00+05:30,3792.0,3822.60009765625,3765.39990234375,3793.39990234375,1574996,0.0,0.0
2024-01-01 00:00:00+05:30,3790.0,3832.0,3773.0,3811.10009765625,825907,0.0,0.0
2024-01-02 00:00:00+05:30,3811.10009765625,3811.10009765625,3767.25,3783.199951171875,1344068,0.0,0.0
2024-01-03 00:00:00+05:30,3767.0,3771.85009765625,3687.050048828125,3691.75,1803075,0.0,0.0
2024-01-04 00:00:00+05:30,3701.75,3719.0,3651.0,3666.800048828125,3598144,0.0,0.0
2024-01-05 00:00:00+05:30,3675.0,3747.75,3674.85009765625,3737.89990234375,1963127,0.0,0.0
2024-01-08 00:00:00+05:30,3737.89990234375,3739.75,3672.39990234375,3678.300048828125,1067805,0.0,0.0
2024-01-09 00:00:00+05:30,3709.949951171875,3752.35009765625,3682.75,3689.89990234375,1370944,0.0,0.0
2024-01-10 00:00:00+05:30,3690.0,3729.25,3688.0,3713.050048828125,1292227,0.0,0.0
2024-01-11 00:00:00+05:30,3724.0,3773.0,3707.0,3735.550048828125,1777909,0.0,0.0
2024-01-12 00:00:00+05:30,3848.0,3905.25,3821.60009765625,3882.800048828125,6813450,0.0,0.0
